#time1 gdp2 growth3 demand4 wages5 price6 employed7 company_capital8 consumer_capital9 interest_rate10 investments11 market_capital12 bank_capital13 total_capital14
263 4884.11 0.00978816 1485 138.43 66.1787 856 375802 133244 330 47450.1 3192.73 51325.8 568073
262 4836.77 0.00971174 1485 140.539 67.3668 856 378894 134661 322.5 47897.8 3239.35 45968.1 567039
261 4790.24 0.00956803 1485 142.679 68.6599 856 382156 135676 330 48336.6 3286.65 40746.8 566144
260 4744.85 0.00929454 1485 144.852 70.0151 856 385359 136751 322.5 48800.5 3272.45 35003.4 565357
259 4701.15 0.0073281 1485 147.057 71.3814 856 388455 138626 330 49324.5 3339.07 29093.8 564717
258 4666.95 0.00940029 1485 149.297 72.5762 856 391817 140468 322.5 49859.9 3343.65 23248.7 564194
257 4623.49 0.00523512 1485 147.09 72.7799 856 394526 143076 330 50436.5 3303.55 17951.6 563800
256 4599.41 0.0106805 1485 146.129 73.9177 856 394216 148329 322.5 51077.1 3424.99 19712.9 563357
255 4550.8 0.0105672 1485 143.969 72.9516 856 395809 144410 330 51649.7 3260.94 13997.1 563049
254 4503.22 0.0102979 1485 146.161 74.4662 856 393608 152183 322.5 52349.7 3331.3 23201.5 562527
253 4457.32 0.198559 1485 147.631 75.9635 856 397120 138874 330 53022.6 3316.76 17150.3 562150
252 3718.9 0 1485 148.992 77.4022 856 400910 140773 300 53794.6 56761.5 11395 561894
251 3718.9 0 1485 150.557 78.2151 856 404642 89095.6 300 0 2625.73 5728.28 561777
250 3718.9 0 1485 150.746 78.3132 856 409577 143846 300 0 2629.34 0 561777
249 3718.9 0 1485 150.935 78.4115 856 415121 144027 300 0 2632.96 0 561777
248 3718.9 0 1485 151.124 78.5098 856 414937 144207 300 0 2636.58 0 561777
247 3718.9 0 1485 151.314 78.6083 856 414752 144388 300 0 2640.21 0 561777
246 3718.9 0 1485 151.503 78.7069 856 414568 144569 300 0 2643.84 0 561777
245 3718.9 0 1485 151.693 78.8056 856 414383 144751 300 0 2647.47 0 561777
244 3718.9 0 1485 151.884 78.9045 856 414197 144932 300 0 2651.11 0 561777
243 3718.9 0 1485 152.074 79.0034 856 414012 145114 300 0 2654.76 0 561777
242 3718.9 0 1485 152.265 79.1025 856 413826 145296 300 0 2658.4 0 561777
241 3718.9 0 1485 152.456 79.2018 856 413640 145478 300 0 2662.06 0 561777
240 3718.9 0 1485 152.647 79.3011 856 413454 145661 300 0 2665.71 0 561777
239 3718.9 0 1485 152.839 79.4006 856 413268 145843 300 0 2669.38 0 561777
238 3718.9 0 1485 153.03 79.5002 856 413081 146026 300 0 2673.04 0 561777
237 3718.9 0 1485 153.222 79.5999 856 412894 146209 300 0 2676.72 0 561777
236 3718.9 0 1485 153.414 79.6997 856 412707 146393 300 0 2680.39 0 561777
235 3718.9 0 1485 153.607 79.7997 856 412520 146576 300 0 2684.07 0 561777
234 3718.9 0 1485 153.8 79.8998 856 412333 146760 300 0 2687.76 0 561777
233 3718.9 0 1485 153.992 80 856 412145 146944 300 0 2691.45 0 561777
232 3718.9 0 1485 154.186 80.1004 856 411957 147129 300 0 2695.14 0 561777
231 3718.9 0 1485 154.379 80.2008 856 411769 147313 300 0 2698.84 0 561777
230 3718.9 0 1485 154.573 80.3014 856 411580 147498 300 0 2702.55 0 561777
229 3718.9 0 1485 154.767 80.4022 856 411391 147683 300 0 2706.26 0 561777
228 3718.9 0 1485 154.961 80.503 856 411202 147868 300 0 2709.97 0 561777
227 3718.9 0 1485 155.155 80.604 856 411013 148054 300 0 2713.69 0 561777
226 3718.9 0 1485 155.35 80.7051 856 410824 148240 300 0 2717.41 0 561777
225 3718.9 0 1485 155.545 80.8063 856 410634 148425 300 0 2721.14 0 561777
224 3718.9 0 1485 155.74 80.9077 856 410444 148612 300 0 2724.87 0 561777
223 3718.9 0 1485 155.935 81.0092 856 410254 148798 300 0 2728.6 0 561777
222 3718.9 0 1485 156.131 81.1108 856 410064 148985 300 0 2732.35 0 561777
221 3718.9 0 1485 156.326 81.2125 856 409873 149172 300 0 2736.09 0 561777
220 3718.9 0 1485 156.523 81.3144 856 409682 149359 300 0 2739.84 0 561777
219 3718.9 0 1485 156.719 81.4164 856 409491 149546 300 0 2743.6 0 561777
218 3718.9 0 1485 156.915 81.5185 856 409300 149734 300 0 2747.36 0 561777
217 3718.9 0 1485 157.112 81.6208 856 409108 149921 300 0 2751.12 0 561777
216 3718.9 0 1485 157.309 81.7232 856 408916 150109 300 0 2754.89 0 561777
215 3718.9 0 1485 157.507 81.8257 856 408724 150298 300 0 2758.67 0 561777
214 3718.9 0 1485 157.704 81.9283 856 408532 150486 300 0 2762.45 0 561777
213 3718.9 0 1485 157.902 82.0311 856 408339 150675 300 0 2766.23 0 561777
212 3718.9 0 1485 158.1 82.134 856 408147 150864 300 0 2770.02 0 561777
211 3718.9 0 1485 158.298 82.237 856 407954 151053 300 0 2773.81 0 561777
210 3718.9 0 1485 158.497 82.3401 856 407760 151243 300 0 2777.61 0 561777
209 3718.9 0 1485 158.696 82.4434 856 407567 151432 300 0 2781.41 0 561777
208 3718.9 0 1485 158.895 82.5468 856 407373 151622 300 0 2785.22 0 561777
207 3718.9 0 1485 159.094 82.6504 856 407179 151813 300 0 2789.03 0 561777
206 3718.9 0 1485 159.294 82.7541 856 406985 152003 300 0 2792.85 0 561777
205 3718.9 0 1485 159.494 82.8579 856 406790 152194 300 0 2796.67 0 561777
204 3718.9 0 1485 159.694 82.9618 856 406596 152385 300 0 2800.5 0 561777
203 3718.9 0 1485 159.894 83.0659 856 406401 152576 300 0 2804.33 0 561777
202 3718.9 0 1485 160.094 83.17 856 406206 152767 300 0 2808.17 0 561777
201 3718.9 0 1485 160.295 83.2744 856 406010 152959 300 0 2812.01 0 561777
200 3718.9 0 1485 160.496 83.3788 856 405814 153151 300 0 2815.85 0 561777
199 3718.9 0 1485 160.698 83.4834 856 405618 153343 300 0 2819.7 0 561777
198 3718.9 0 1485 160.899 83.5881 856 405422 153535 300 0 2823.56 0 561777
197 3718.9 0 1485 161.101 83.693 856 405226 153728 300 0 2827.42 0 561777
196 3718.9 0 1485 161.303 83.798 856 405029 153921 300 0 2831.29 0 561777
195 3718.9 0 1485 161.506 83.9031 856 404832 154114 300 0 2835.16 0 561777
194 3718.9 0 1485 161.708 84.0083 856 404635 154307 300 0 2839.03 0 561777
193 3718.9 0 1485 161.911 84.1137 856 404438 154500 300 0 2842.91 0 561777
192 3718.9 0 1485 162.114 84.2192 856 404240 154694 300 0 2846.8 0 561777
191 3718.9 0 1485 162.317 84.3249 856 404042 154888 300 0 2850.69 0 561777
190 3718.9 0 1485 162.521 84.4306 856 403844 155083 300 0 2854.58 0 561777
189 3718.9 0 1485 162.725 84.5365 856 403645 155277 300 0 2858.48 0 561777
188 3718.9 0 1485 162.929 84.6426 856 403447 155472 300 0 2862.38 0 561777
187 3718.9 0 1485 163.133 84.7487 856 403248 155667 300 0 2866.29 0 561777
186 3718.9 0 1485 163.338 84.8551 856 403049 155862 300 0 2870.21 0 561777
185 3718.9 0 1485 163.543 84.9615 856 402849 156058 300 0 2874.13 0 561777
184 3718.9 0 1485 163.748 85.0681 856 402649 156253 300 0 2878.05 0 561777
183 3718.9 0 1485 163.953 85.1748 856 402450 156449 300 0 2881.98 0 561777
182 3718.9 0 1485 164.159 85.2816 856 402249 156646 300 0 2885.91 0 561777
181 3718.9 0 1485 164.365 85.3886 856 402049 156842 300 0 2889.85 0 561777
180 3718.9 0 1485 164.571 85.4957 856 401848 157039 300 0 2893.79 0 561777
179 3718.9 0 1485 164.778 85.603 856 401647 157236 300 0 2897.74 0 561777
178 3718.9 0 1485 164.984 85.7104 856 401446 157433 300 0 2901.68 0 561777
177 3718.9 0 1485 165.191 85.8179 856 401245 157631 300 0 2905.63 0 561777
176 3718.9 0 1485 165.399 85.9256 856 401043 157828 300 0 2909.57 0 561777
175 3718.9 0 1485 165.606 86.0335 856 400841 158027 300 0 2913.5 0 561777
174 3718.9 0 1485 165.815 86.1416 856 400639 158225 300 0 2917.39 0 561777
173 3718.9 0 1485 166.023 86.2501 856 400436 158424 300 0 2921.21 0 561777
172 3718.9 0 1485 166.233 86.3591 856 400232 158623 300 0 2924.9 0 561777
171 3718.9 0 1485 166.444 86.4689 856 400028 158824 300 0 2928.35 0 561777
170 3718.9 0 1485 166.659 86.5802 856 399823 159026 300 0 2931.39 0 561777
169 3718.9 0 1485 166.878 86.694 856 399615 159230 300 0 2933.51 0 561777
168 3718.9 0 1485 167.106 86.8126 856 399404 159440 300 0 2929.48 0 561777
167 3718.9 0.00168499 1485 168.544 86.9512 856 399308 159540 300 0 2869.87 0 561777
166 3712.64 0.00192055 1485 171.11 87.2364 853 400025 158882 300 0 2871.65 0 561777
165 3705.52 0.00189616 1485 173.716 87.5275 850 400690 158215 300 0 2871.92 0 561777
164 3698.51 0.0038853 1485 176.362 87.8271 847 401944 156961 300 0 2828.92 0 561777
163 3684.2 0.000318708 1485 179.047 88.2381 841 403442 155506 300 0 2953.96 0 561777
162 3683.02 0.000450548 1485 181.774 88.3576 841 404430 154393 300 0 3061.22 0 561777
161 3681.36 -0.02612 1485 184.542 88.2269 842 406535 152181 300 0 3843.83 0 561777
160 3780.1 0 1485 187.352 86.2543 889 409142 148791 300 0 2941.43 0 561777
159 3780.1 0 1726.74 190.205 100.437 889 421288 137547 300 0 3426.12 0 561777
158 3780.1 0 1726.74 190.474 100.579 889 370593 187757 300 0 3431.42 0 561777
157 3780.1 0 1726.74 190.742 100.721 889 370323 188022 300 0 3436.74 0 561777
156 3780.1 0 1726.74 191.012 100.863 889 370053 188288 300 0 3442.05 0 561777
155 3780.1 0 1726.74 191.281 101.005 889 369782 188553 300 0 3447.38 0 561777
154 3780.1 0 1726.74 191.551 101.148 889 369510 188819 300 0 3452.71 0 561777
153 3780.1 0 1726.74 191.821 101.29 889 369239 189086 300 0 3458.06 0 561777
152 3780.1 0 1726.74 192.092 101.433 889 368967 189352 300 0 3463.41 0 561777
151 3780.1 0 1726.74 192.363 101.576 889 368694 189619 300 0 3468.77 0 561777
150 3780.1 0 1726.74 192.634 101.72 889 368421 189887 300 0 3474.16 0 561777
149 3780.1 0 1726.74 192.906 101.863 889 368148 190155 300 0 3479.58 0 561777
148 3780.1 0 1726.74 193.177 102.006 889 367875 190423 300 0 3485.06 0 561777
147 3780.1 0 1726.74 193.449 102.15 889 367601 190691 300 0 3490.69 0 561777
146 3780.1 0 1726.74 193.719 102.293 889 367327 190959 300 0 3496.69 0 561777
145 3780.1 0 1726.74 193.987 102.434 889 367054 191226 300 0 3503.6 0 561777
144 3780.1 0 1726.74 194.247 102.571 889 366783 191490 300 0 3512.93 0 561777
143 3780.1 0 1726.74 193.507 102.699 889 366517 191747 300 0 3529.66 0 561777
142 3780.1 -0.000647932 1726.74 190.648 102.8 889 365292 192955 300 0 3573.89 0 561777
141 3782.55 0.000648352 1726.74 187.83 102.795 890 362049 196154 300 0 3554.35 0 561777
140 3780.1 0 1726.74 185.054 102.856 889 359261 198962 300 0 2521.95 0 561777
139 3780.1 0 1628.64 182.32 96.273 889 357370 201885 300 0 3321.08 0 561777
138 3780.1 0 1628.64 182.559 96.3996 889 378483 179973 300 0 3325.82 0 561777
137 3780.1 0 1628.64 182.799 96.5264 889 378241 180210 300 0 3330.56 0 561777
136 3780.1 0 1628.64 183.04 96.6534 889 378000 180447 300 0 3335.31 0 561777
135 3780.1 0 1628.64 183.281 96.7805 889 377758 180684 300 0 3340.07 0 561777
134 3780.1 0 1628.64 183.522 96.9077 889 377515 180922 300 0 3344.83 0 561777
